group	x	y
6	1	0
6	2	0
6	3	0
6	4	1
6	5	2
6	6	2
6	7	3
6	8	3
6	9	3
6	10	5
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	1
7	13	2
7	14	2
7	15	3
7	16	3
7	17	4
7	18	6
7	19	6
7	20	6
7	21	6
7	22	6
7	23	6
7	24	7
7	25	7
7	26	7
7	27	7
7	28	8
7	29	8
7	30	8
7	31	9
7	32	10
7	33	10
7	34	12
7	35	13
7	36	16
7	37	18
7	38	18
7	39	19
7	40	20
7	41	22
7	42	23
7	43	23
7	44	25
7	45	27
7	46	29
7	47	30
7	48	30
7	49	31
7	50	32
7	51	33
7	52	33
7	53	33
7	54	34
7	55	35
7	56	37
7	57	38
7	58	38
7	59	38
7	60	38
7	61	38
7	62	38
7	63	39
7	64	40
7	65	40
7	66	40
7	67	43
8	1	2
8	2	2
8	3	3
8	4	4
8	5	5
8	6	5
8	7	6
8	8	7
8	9	10
8	10	10
8	11	12
8	12	14
8	13	14
8	14	15
8	15	16
8	16	16
8	17	16
8	18	19
8	19	20
8	20	21
8	21	21
8	22	21
8	23	22
8	24	22
8	25	23
8	26	24
8	27	25
8	28	25
8	29	25
8	30	27
8	31	27
8	32	28
8	33	28
8	34	28
8	35	28
8	36	28
8	37	30
8	38	31
8	39	31
8	40	32
8	41	32
8	42	34
8	43	34
8	44	36
8	45	36
8	46	36
9	1	1
9	2	2
9	3	3
9	4	5
9	5	5
9	6	6
9	7	9
9	8	9
9	9	10
9	10	10
9	11	11
9	12	12
9	13	13
9	14	14
9	15	14
9	16	14
9	17	15
9	18	15
9	19	15
9	20	17
9	21	17
9	22	18
9	23	19
9	24	19
9	25	20
9	26	20
9	27	20
9	28	20
9	29	20
9	30	21
9	31	22
9	32	23
9	33	24
9	34	24
9	35	25
9	36	26
9	37	27
9	38	27
9	39	27
9	40	27
9	41	28
9	42	29
9	43	31
9	44	33
9	45	34
9	46	35
9	47	36
9	48	38
9	49	39
9	50	40
9	51	41
9	52	41
9	53	42
9	54	45
9	55	45
9	56	45
9	57	45
9	58	46
9	59	46
9	60	47
9	61	48
9	62	50
9	63	50
9	64	51
9	65	52
9	66	52
9	67	53
9	68	53
9	69	54
9	70	55
9	71	55
9	72	55
9	73	55
9	74	56
9	75	57
9	76	58
9	77	59
9	78	60
9	79	62
9	80	64
9	81	64
9	82	65
10	1	1
10	2	2
10	3	4
10	4	4
10	5	5
10	6	7
10	7	7
10	8	8
10	9	9
10	10	10
10	11	11
10	12	11
10	13	11
10	14	11
10	15	11
10	16	13
10	17	13
10	18	15
10	19	16
10	20	16
10	21	17
10	22	18
10	23	20
10	24	22
10	25	23
10	26	23
10	27	25
10	28	25
10	29	26
10	30	27
10	31	29
10	32	30
10	33	30
10	34	32
10	35	33
10	36	33
10	37	34
10	38	35
10	39	36
10	40	38
10	41	40
10	42	40
10	43	42
10	44	43
10	45	43
10	46	44
10	47	44
10	48	44
10	49	46
10	50	47
10	51	47
10	52	47
10	53	48
10	54	49
10	55	49
10	56	49
10	57	50
10	58	51
10	59	53
10	60	54
10	61	55
10	62	56
10	63	56
10	64	58
10	65	59
10	66	61
10	67	61
10	68	61
10	69	61
10	70	62
10	71	63
10	72	63
10	73	63
10	74	64
10	75	65
10	76	65
10	77	66
10	78	67
10	79	68
10	80	68
10	81	69
10	82	70
11	1	0
11	2	1
11	3	3
11	4	5
11	5	7
11	6	8
11	7	8
11	8	8
11	9	10
11	10	10
11	11	13
11	12	15
11	13	16
11	14	16
11	15	18
11	16	18
11	17	18
11	18	19
11	19	20
11	20	21
11	21	22
11	22	23
11	23	25
11	24	26
11	25	28
11	26	29
11	27	30
11	28	31
11	29	31
11	30	32
11	31	33
11	32	33
11	33	33
11	34	34
