group	x	y
9	1	1
9	2	2
10	1	0
10	2	2
10	3	4
10	4	4
10	5	4
10	6	4
10	7	4
10	8	5
10	9	5
10	10	5
10	11	7
10	12	7
10	13	7
10	14	7
10	15	8
10	16	10
10	17	10
10	18	11
10	19	11
10	20	11
10	21	11
10	22	12
10	23	13
10	24	15
10	25	16
10	26	17
10	27	18
10	28	19
10	29	19
10	30	20
10	31	22
10	32	23
10	33	25
10	34	26
10	35	26
10	36	26
10	37	26
10	38	26
10	39	27
10	40	30
10	41	31
10	42	32
10	43	35
10	44	36
10	45	37
10	46	38
10	47	39
10	48	39
10	49	39
10	50	39
10	51	39
10	52	39
10	53	40
10	54	41
10	55	41
10	56	41
10	57	42
10	58	43
10	59	44
10	60	46
10	61	48
10	62	49
10	63	49
10	64	49
10	65	51
10	66	52
10	67	53
10	68	53
10	69	53
10	70	54
10	71	56
10	72	56
10	73	59
10	74	62
10	75	62
10	76	63
10	77	64
10	78	64
10	79	64
10	80	64
10	81	65
10	82	66
11	1	0
11	2	0
11	3	1
11	4	2
11	5	4
11	6	4
11	7	5
11	8	6
11	9	8
11	10	9
11	11	10
11	12	11
11	13	13
11	14	13
11	15	13
11	16	14
11	17	14
11	18	14
11	19	16
11	20	17
11	21	18
11	22	19
11	23	19
11	24	20
11	25	21
11	26	21
11	27	21
11	28	22
11	29	22
11	30	24
11	31	26
11	32	28
11	33	28
11	34	31
