group	x	y
1	1	0
1	2	0
1	3	1
1	4	1
1	5	4
1	6	5
1	7	6
1	8	8
1	9	9
1	10	10
1	11	12
1	12	12
1	13	12
1	14	15
1	15	17
1	16	17
1	17	18
1	18	19
1	19	24
1	20	24
1	21	25
1	22	26
1	23	27
1	24	28
1	25	28
1	26	28
1	27	29
1	28	31
1	29	32
1	30	34
1	31	34
1	32	34
1	33	35
1	34	35
1	35	36
1	36	38
1	37	39
1	38	40
1	39	42
1	40	43
1	41	45
1	42	45
1	43	45
1	44	48
1	45	48
2	1	3
2	2	6
2	3	6
2	4	6
2	5	8
2	6	9
2	7	11
2	8	12
2	9	12
2	10	12
2	11	13
2	12	13
2	13	14
2	14	17
2	15	18
2	16	19
2	17	19
2	18	19
2	19	22
2	20	24
2	21	27
2	22	28
2	23	30
2	24	33
2	25	33
2	26	33
2	27	35
2	28	37
2	29	37
2	30	38
2	31	38
2	32	38
2	33	39
2	34	39
2	35	41
2	36	41
2	37	42
2	38	42
2	39	44
2	40	45
2	41	47
2	42	47
2	43	49
2	44	49
2	45	50
2	46	53
2	47	54
2	48	55
2	49	56
2	50	58
2	51	58
2	52	58
2	53	59
2	54	59
2	55	60
2	56	62
2	57	65
2	58	66
2	59	66
2	60	67
2	61	68
2	62	70
2	63	71
2	64	73
2	65	73
2	66	74
2	67	74
2	68	75
2	69	78
2	70	79
2	71	81
2	72	84
2	73	86
2	74	87
2	75	88
2	76	90
2	77	93
2	78	94
2	79	96
2	80	97
2	81	99
3	1	3
3	2	3
3	3	4
3	4	5
3	5	6
3	6	8
3	7	8
3	8	9
3	9	10
3	10	11
3	11	13
3	12	16
3	13	16
3	14	17
3	15	18
3	16	19
3	17	19
3	18	22
3	19	22
3	20	25
3	21	26
3	22	28
3	23	28
3	24	30
3	25	30
3	26	31
3	27	32
3	28	33
3	29	35
3	30	35
3	31	39
3	32	39
3	33	40
3	34	40
3	35	41
3	36	43
3	37	45
3	38	45
3	39	45
3	40	45
3	41	46
3	42	47
3	43	47
3	44	48
3	45	50
3	46	52
3	47	53
3	48	53
3	49	54
3	50	56
3	51	61
3	52	63
3	53	64
3	54	64
3	55	66
3	56	66
3	57	66
3	58	69
3	59	69
3	60	71
3	61	71
3	62	74
3	63	75
3	64	77
3	65	79
3	66	80
3	67	81
3	68	84
3	69	84
3	70	86
3	71	89
3	72	89
3	73	90
3	74	94
3	75	96
3	76	99
3	77	102
3	78	103
3	79	103
3	80	103
3	81	106
3	82	108
4	1	2
4	2	3
4	3	5
4	4	9
4	5	11
4	6	11
4	7	13
4	8	14
4	9	16
4	10	17
4	11	18
4	12	19
4	13	21
4	14	22
4	15	22
4	16	23
4	17	23
4	18	26
4	19	27
4	20	28
4	21	31
4	22	32
4	23	33
4	24	33
4	25	34
4	26	35
4	27	36
4	28	40
4	29	41
4	30	43
4	31	45
4	32	48
4	33	49
4	34	49
4	35	52
4	36	54
4	37	56
4	38	58
4	39	61
4	40	61
4	41	62
4	42	63
4	43	66
4	44	67
4	45	69
4	46	70
4	47	70
4	48	72
4	49	73
4	50	75
4	51	76
4	52	78
4	53	80
4	54	80
4	55	81
4	56	81
4	57	82
4	58	84
4	59	85
4	60	86
4	61	89
4	62	91
4	63	93
4	64	95
4	65	97
4	66	99
4	67	102
4	68	104
4	69	104
4	70	106
4	71	107
4	72	111
4	73	113
4	74	113
4	75	114
4	76	114
4	77	115
4	78	115
5	1	1
5	2	5
5	3	8
5	4	10
5	5	12
5	6	12
5	7	17
5	8	17
5	9	17
5	10	17
5	11	20
5	12	21
5	13	22
5	14	23
5	15	23
5	16	24
5	17	26
5	18	27
5	19	30
5	20	31
5	21	37
5	22	40
5	23	43
5	24	44
5	25	46
5	26	47
5	27	47
5	28	49
5	29	51
5	30	51
5	31	52
5	32	52
5	33	55
5	34	57
5	35	57
5	36	59
5	37	59
5	38	59
5	39	61
5	40	62
5	41	63
5	42	64
5	43	64
5	44	65
5	45	69
5	46	70
5	47	71
5	48	74
5	49	76
5	50	77
5	51	77
5	52	79
5	53	79
5	54	80
5	55	81
5	56	84
5	57	87
5	58	87
5	59	89
5	60	94
5	61	95
5	62	95
5	63	96
5	64	97
6	1	0
6	2	4
6	3	5
6	4	5
6	5	6
6	6	7
6	7	10
6	8	12
6	9	14
6	10	17
6	11	22
6	12	24
6	13	26
6	14	27
6	15	27
6	16	28
6	17	30
6	18	32
6	19	32
6	20	37
6	21	38
6	22	40
6	23	40
6	24	40
6	25	40
6	26	43
6	27	45
6	28	48
6	29	51
6	30	52
6	31	53
6	32	56
6	33	58
6	34	60
6	35	62
6	36	63
6	37	63
6	38	64
6	39	64
6	40	68
6	41	69
6	42	69
6	43	71
6	44	74
6	45	77
6	46	81
6	47	84
6	48	84
6	49	87
6	50	91
6	51	93
6	52	96
6	53	100
6	54	102
6	55	104
6	56	105
7	1	2
7	2	5
7	3	8
7	4	11
7	5	13
7	6	15
7	7	16
7	8	17
7	9	19
7	10	22
7	11	23
7	12	24
7	13	25
7	14	27
7	15	29
7	16	30
7	17	32
7	18	32
7	19	36
7	20	36
7	21	40
7	22	42
7	23	42
7	24	43
7	25	45
7	26	45
7	27	45
7	28	47
7	29	49
7	30	50
7	31	52
7	32	53
7	33	53
7	34	53
7	35	53
7	36	55
7	37	57
7	38	58
7	39	58
7	40	59
7	41	60
7	42	60
7	43	61
7	44	63
7	45	64
7	46	66
7	47	68
7	48	71
7	49	71
7	50	73
7	51	75
7	52	75
7	53	77
7	54	79
7	55	79
7	56	79
7	57	81
7	58	83
7	59	85
7	60	87
7	61	90
7	62	91
7	63	93
7	64	95
7	65	97
7	66	98
7	67	100
7	68	102
7	69	105
7	70	106
7	71	108
7	72	108
7	73	108
7	74	110
7	75	110
7	76	113
7	77	116
7	78	118
7	79	122
7	80	123
8	1	4
8	2	5
8	3	6
8	4	10
8	5	10
8	6	10
8	7	11
8	8	15
8	9	18
8	10	22
8	11	24
8	12	25
8	13	27
8	14	29
8	15	31
8	16	32
8	17	32
8	18	34
8	19	35
8	20	35
8	21	36
8	22	39
8	23	41
8	24	43
8	25	47
8	26	48
8	27	52
8	28	54
8	29	55
8	30	59
8	31	60
8	32	62
8	33	64
8	34	65
8	35	66
8	36	67
8	37	72
8	38	72
8	39	73
8	40	75
8	41	76
8	42	77
8	43	79
8	44	82
8	45	83
8	46	84
8	47	86
8	48	88
8	49	89
8	50	92
8	51	93
8	52	94
8	53	97
8	54	97
8	55	99
8	56	101
8	57	102
8	58	105
8	59	109
8	60	113
8	61	115
8	62	118
8	63	121
8	64	122
8	65	124
8	66	124
8	67	127
8	68	129
8	69	131
8	70	134
8	71	136
8	72	138
8	73	139
8	74	140
8	75	143
8	76	144
8	77	146
8	78	147
8	79	148
8	80	151
8	81	152
8	82	153
9	1	1
9	2	3
9	3	5
9	4	6
9	5	8
9	6	9
9	7	9
9	8	10
9	9	10
9	10	10
9	11	10
9	12	12
9	13	13
9	14	13
9	15	15
9	16	16
9	17	20
9	18	25
9	19	28
9	20	29
9	21	32
9	22	34
9	23	36
9	24	38
9	25	40
9	26	41
9	27	41
9	28	43
9	29	44
9	30	45
9	31	47
9	32	48
9	33	53
9	34	54
9	35	55
9	36	56
9	37	57
9	38	58
9	39	59
9	40	59
9	41	60
9	42	63
9	43	67
9	44	68
9	45	71
9	46	71
9	47	77
9	48	80
9	49	81
9	50	83
9	51	85
9	52	87
9	53	89
9	54	91
9	55	94
9	56	95
9	57	97
9	58	99
9	59	100
9	60	100
9	61	103
9	62	106
9	63	106
9	64	108
9	65	112
9	66	115
9	67	117
9	68	119
9	69	122
9	70	125
9	71	126
9	72	126
9	73	128
9	74	130
9	75	132
9	76	132
10	1	0
10	2	1
10	3	2
10	4	4
10	5	5
10	6	6
10	7	8
10	8	8
10	9	10
10	10	10
10	11	10
10	12	13
10	13	17
10	14	19
10	15	21
10	16	21
10	17	24
10	18	25
10	19	28
10	20	30
10	21	31
10	22	31
10	23	35
10	24	37
10	25	38
10	26	40
10	27	41
10	28	44
10	29	45
10	30	48
10	31	49
10	32	50
10	33	52
10	34	54
10	35	54
10	36	54
10	37	55
10	38	58
10	39	58
10	40	59
10	41	62
10	42	64
10	43	65
10	44	66
10	45	67
10	46	67
10	47	70
10	48	71
10	49	71
10	50	71
10	51	72
10	52	73
10	53	74
10	54	75
10	55	77
10	56	79
10	57	81
10	58	82
10	59	84
10	60	85
10	61	86
10	62	89
10	63	90
10	64	93
10	65	97
10	66	99
10	67	100
11	1	2
11	2	3
11	3	4
11	4	5
11	5	7
11	6	7
11	7	8
11	8	11
11	9	11
11	10	12
11	11	14
11	12	14
11	13	17
11	14	19
11	15	21
11	16	22
11	17	24
11	18	25
11	19	27
11	20	30
11	21	30
11	22	32
11	23	32
11	24	33
11	25	34
11	26	36
11	27	36
11	28	40
11	29	42
11	30	44
11	31	48
11	32	51
11	33	52
11	34	56
11	35	58
